GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-code-assignment,com.warehouse.api.beans,Warehouse,4,34,0,0,2,14,1,10,1,10
java-code-assignment,com.fulfilment.application.monolith.fulfilment,FulfilmentAssignment,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Location,0,21,0,0,0,8,0,4,0,4
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Warehouse,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource.ErrorMapper,0,48,1,3,0,11,1,3,0,2
java-code-assignment,com.fulfilment.application.monolith.products,ProductRepository,3,0,0,0,1,0,1,0,1,0
java-code-assignment,com.fulfilment.application.monolith.products,Product,6,3,0,0,3,2,1,1,1,1
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource,119,0,10,0,27,0,12,0,7,0
java-code-assignment,com.fulfilment.application.monolith.location,LocationGateway,0,112,0,4,0,18,0,7,0,5
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,FulfilmentRepository,63,3,0,0,3,1,6,1,6,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouse,60,3,0,0,16,2,2,1,2,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,WarehouseRepository,99,0,6,0,25,0,9,0,6,0
java-code-assignment,com.fulfilment.application.monolith.stores,StoreEventListener,23,0,4,0,6,0,4,0,2,0
java-code-assignment,com.fulfilment.application.monolith.stores,StoreChangedEvent,15,0,0,0,6,0,3,0,3,0
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource,148,0,16,0,35,0,16,0,8,0
java-code-assignment,com.fulfilment.application.monolith.stores,LegacyStoreManagerGateway,59,0,0,0,18,0,4,0,4,0
java-code-assignment,com.fulfilment.application.monolith.stores,Store,6,3,0,0,3,2,1,1,1,1
java-code-assignment,com.fulfilment.application.monolith.stores,StoreChangedEvent.Operation,15,0,0,0,3,0,1,0,1,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.restapi,WarehouseResourceImpl,116,0,4,0,30,0,10,0,8,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ArchiveWarehouseUseCase,24,0,2,0,8,0,3,0,2,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,CreateWarehouseUseCase,112,0,16,0,21,0,12,0,4,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ReplaceWarehouseUseCase,80,0,14,0,19,0,9,0,2,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,AssignWarehouseUseCase,0,61,0,6,0,14,0,5,0,2
